Ситуация с врачами в Башкирии кардинально изменится. Радий Хабиров заявил, что работать врачами будут скромные люди из небогатых семей и рассказал, как этого добьется   «Они не будет капризничать и сидеть в коммерческой клинике в Уфе», - заявил руководитель Башкирии:   http://ufatime.ru/news/2018/12/05/ne-budet-kapriznichat-i-sidet-v-kommercheskoj-klinike-v-ufe-radij-habirov-rasskazal-pochemu-lyudi-iz-nebogatyh-semej-dolzhny-rabotat-vrachami-v-bashkirii-i-kak-etogo-dobitsya/№%:№%:2018-12-05 10:30:04№%:№%:23967044
На ней был лишь один розовый халат  Полиция Башкирии ищет 44-летнюю женщину, которая пропала при странных обстоятельствах.   https://www.ufa.kp.ru/online/news/3317553/№%:№%:2018-12-05 10:10:01№%:№%:23967044
"Дома построили на пеньках, дома строят на болотах"  Детский омбудсмен осталась недовольна визитом в Башкирию   Подробности по ссылке: http://www.ria-bashkiria.com/news/20816.html№%:№%:2018-12-05 09:50:00№%:№%:23967044
Новое назначение в мэрии города.   Пост получила директор телеканала «Вся Уфа».  https://www.kommersant.ru/doc/3820244№%:№%:2018-12-05 09:30:02№%:№%:23967044
В Уфе мажор на огромной скорости влетел в пешехода и того раскидало по частям по всей улице   После виновник прятался от полиции у друга, но его нашли и осудили. Но приговор оказался совсем не таким, каким его ожидали.  https://www.ufa.kp.ru/online/news/3317071/№%:№%:2018-12-05 09:10:00№%:№%:23967044
Выбор имени аэропорта и другие главные события месяца   Эксперты выяснили, что волнует жителей Башкирии    Подробности: https://news102.ru/world/den-materi-i-bogemskaya-rapsodiya-osnovnye-sobytiya-mesyatsa-dlya-zhiteley-bashkirii/№%:№%:2018-12-05 08:50:00№%:№%:23967044
Вместе с экспертами решили проверить, как ведут страницы Радий Хабиров, мэр Уфы и министры.  И кто ими занимается — они сами или копирайтеры.  https://mkset.ru/news/politics/04-12-2018/chinovniki-i-sotsseti-eksperty-o-stranitsah-radiya-habirova-mera-ufy-i-ministrov?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2018-12-05 08:30:01№%:№%:23967044
Как жителям Башкирии установить в квартире счетчик бесплатно?  Рассказываем, кто имеет право на бесплатные приборы учета воды и света и почему:  https://proufu.ru/news/society/73129-kak_zhitelyam_bashkirii_ustanovit_v_kvartire_schetchik_besplatno/№%:№%:2018-12-05 08:10:00№%:№%:23967044
В Уфе чиновники хотят забрать помещение у детского театра танца.  Чем городу не угодили юные балерины?   Подробности и видео: https://utv.ru/material/v-ufe-chinovniki-hotyat-zabrat-pomeshenie-u-detskogo-teatra-tanca/№%:№%:2018-12-05 07:50:00№%:№%:23967044
Первый компьютер в СССР был придуман ученым из Башкирии! 😨😨😨   Это произошло ровно 70 лет назад! 😎.    Подробнее + видео: https://bash.news/news/85468_zhitel_bashkirii_70_let_nazad_sproektiroval_pervyj_kompyuter_v_sssr№%:№%:2018-12-05 07:30:01№%:№%:23967044
Синоптики рассказали, какую погоду ожидать уфимцам в ближайшие дня    Столицу республику ждут перепады температуры - будьте готовы    Подробности: https://news102.ru/world/v-ufu-pridet-teplaya-zimnyaya-pogoda/№%:№%:2018-12-05 07:10:00№%:№%:23967044
Внедрение «Системы-112» в Башкирии обошлось в 137 млн рублей  За сутки она обрабатывает более 6 тысяч вызовов по республике: https://ufa.rbc.ru/ufa/04/12/2018/5c066dc79a79471d65964790?from=regional_newsfeed№%:№%:2018-12-05 06:50:00№%:№%:23967044
Стало известно чье имя будет носить аэропорт Уфы ✈  Организаторы подсчитали голоса   👉🏻 http://www.bashinform.ru/news/1246866-aeroportu-ufa-prisvoeno-imya-mustaya-karima/№%:№%:2018-12-05 06:30:00№%:№%:23967044
Во время поездки по Башкирии Радия Хабирова обступили местные жители   Они озвучили проблему, которую накануне как раз обсудили в правительстве:   http://i-gazeta.com/news/region102/40109.html№%:№%:2018-12-05 06:10:00№%:№%:23967044
